,Localitate,Categorie
Siruta,,
1017,Municipiul Alba Iulia,Femei_18-24
1071,Ciugud,Barbati_18-24
1151,Oras Abrud,Femei_18-24
1213,Municipiul Aiud,Femei_18-24
1348,Municipiul Blaj,Femei_18-24
1455,Oras Campeni,Femei_18-24
1696,Oras Cugir,Femei_18-24
1794,Oras Ocna Mures,Femei_18-24
1874,Municipiul Sebes,Femei_18-24
1936,Oras Zlatna,Femei_18-24
2130,Albac,Femei_18-24
2309,Almasu Mare,Femei_18-24
2381,Arieseni,Barbati_18-24
2577,Avram Iancu,Femei_18-24
2915,Oras Baia De Aries,Femei_18-24
2988,Berghin,Femei_18-24
3039,Bistra,Barbati_25-34
3397,Blandiana,Femei_18-24
3459,Bucium,Femei_18-24
3761,Cenade,Femei_18-24
3805,Cergau,Barbati_18-24
3841,Ceru-Bacainti,Femei_18-24
3958,Cetatea De Balta,Barbati_18-24
4008,Ciuruleasa,Femei_18-24
4106,Calnic,Femei_18-24
4142,Cricau,Femei_18-24
4188,Craciunelu De Jos,Femei_18-24
4240,Daia Romana,Femei_18-24
4268,Dostat,Femei_18-24
4302,Farau,Femei_25-34
4366,Galda De Jos,Femei_18-24
4482,Garbova,Femei_18-24
4525,Garda De Sus,Femei_18-24
4703,Hoparta,Barbati_18-24
4767,Horea,Femei_18-24
4927,Ighiu,Barbati_18-24
4981,Intregalde,Femei_25-34
5103,Jidvei,Femei_18-24
5167,Livezile,Femei_18-24
5210,Lopadea Noua,Femei_18-24
5309,Lunca Muresului,Femei_18-24
5336,Lupsa,Barbati_18-24
5577,Metes,Femei_18-24
5700,Mihalt,Femei_18-24
5755,Miraslau,Barbati_18-24
5826,Mogos,Barbati_18-24
6048,Noslac,Femei_18-24
6119,Ocolis,Femei_18-24
6164,Ohaba,Femei_35-44
6217,Pianu,Femei_18-24
6271,Poiana Vadului,Femei_18-24
6397,Ponor,Femei_18-24
6468,Posaga,Barbati_25-34
6547,Radesti,Femei_18-24
6592,Rametea,Femei_25-34
6627,Ramet,Barbati_18-24
6761,Rosia Montana,Femei_18-24
6930,Rosia De Secas,Femei_25-34
6976,Salciua,Femei_18-24
7044,Salistea,Femei_18-24
7099,Sasciori,Femei_65_
7197,Scarisoara,Barbati_18-24
7348,Sancel,Barbati_35-44
7384,Santimbru,Femei_18-24
7446,Sohodol,Femei_18-24
7767,Stremt,Femei_18-24
7810,Sibot,Femei_18-24
7865,Sona,Femei_18-24
7945,Spring,Barbati_18-24
8014,Sugag,Femei_18-24
8096,Oras Teius,Femei_18-24
8158,Unirea,Barbati_18-24
