Judet,Barbati_18-24,Barbati_25-34,Barbati_35-44,Barbati_45-64,Barbati_65_,Femei_18-24,Femei_25-34,Femei_35-44,Femei_45-64,Femei_65_
ab,63.743589743589745,95.67948717948718,123.83333333333333,285.15384615384613,153.46153846153845,55.717948717948715,84.06410256410257,111.41025641025641,265.5897435897436,144.83333333333334
ag,71.05882352941177,110.7843137254902,167.0392156862745,365.2352941176471,189.85294117647058,62.31372549019608,94.00980392156863,141.1764705882353,336.47058823529414,174.84313725490196
ar,64.57692307692308,108.33333333333333,143.37179487179486,302.34615384615387,152.64102564102564,57.5,95.64102564102564,127.07692307692308,276.29487179487177,147.66666666666666
b,15795.0,41431.0,65178.0,97954.0,53134.0,14818.0,43577.0,62670.0,105977.0,61692.0
bc,75.0,101.68817204301075,154.40860215053763,385.0860215053763,211.04301075268816,67.13978494623656,93.93548387096774,142.3548387096774,359.01075268817203,211.16129032258064
bh,85.25742574257426,136.24752475247524,182.1881188118812,361.91089108910893,175.56435643564356,79.24752475247524,124.36633663366337,169.55445544554456,349.61386138613864,184.79207920792078
bn,63.306451612903224,96.20967741935483,120.95161290322581,273.9032258064516,145.66129032258064,61.38709677419355,85.16129032258064,110.08064516129032,252.74193548387098,131.3709677419355
br,67.72727272727273,101.47727272727273,158.86363636363637,425.6136363636364,243.5681818181818,54.52272727272727,83.8409090909091,142.88636363636363,393.0681818181818,244.9318181818182
bt,63.92307692307692,76.88461538461539,118.01282051282051,288.4230769230769,165.19230769230768,55.85897435897436,73.48717948717949,110.21794871794872,258.5897435897436,157.6153846153846
bv,104.20689655172414,199.86206896551724,290.0344827586207,535.5344827586207,322.58620689655174,91.98275862068965,186.51724137931035,259.87931034482756,539.6724137931035,317.32758620689657
bz,64.35632183908046,88.27586206896552,127.39080459770115,330.64367816091954,185.28735632183907,52.264367816091955,76.24137931034483,113.28735632183908,296.8045977011494,180.09195402298852
cj,97.9753086419753,216.46913580246914,275.28395061728395,471.75308641975306,261.1975308641975,92.25925925925925,215.02469135802468,247.02469135802468,443.4938271604938,251.69135802469137
cl,63.27272727272727,95.8,125.10909090909091,312.8181818181818,154.0909090909091,51.72727272727273,79.65454545454546,111.47272727272727,267.6545454545454,149.52727272727273
cs,43.896103896103895,64.76623376623377,88.23376623376623,225.3896103896104,129.92207792207793,37.506493506493506,55.54545454545455,71.44155844155844,186.67532467532467,119.55844155844156
ct,103.37142857142857,170.1,260.3142857142857,562.5714285714286,312.3,92.55714285714286,171.94285714285715,255.57142857142858,570.0714285714286,308.62857142857143
cv,47.31111111111111,69.97777777777777,114.22222222222223,233.7111111111111,151.7111111111111,44.044444444444444,69.91111111111111,110.24444444444444,247.8,168.46666666666667
db,68.41573033707866,106.64044943820225,145.85393258426967,331.76404494382024,173.1123595505618,57.59550561797753,89.26966292134831,127.86516853932584,302.0,172.79775280898878
dj,76.36936936936937,124.53153153153153,175.59459459459458,397.6666666666667,210.72072072072072,66.47747747747748,109.14414414414415,155.56756756756758,351.26126126126127,210.43243243243242
gj,71.2,99.61428571428571,151.9857142857143,375.15714285714284,153.1,60.42857142857143,88.12857142857143,134.5857142857143,311.12857142857143,129.42857142857142
gl,92.46153846153847,134.66153846153847,210.24615384615385,524.0461538461539,290.0615384615385,82.01538461538462,118.04615384615384,190.12307692307692,468.2923076923077,290.24615384615385
gr,71.77777777777777,119.05555555555556,143.0185185185185,314.6111111111111,162.16666666666666,56.074074074074076,93.24074074074075,116.22222222222223,266.48148148148147,163.12962962962962
hd,68.23188405797102,97.43478260869566,143.7246376811594,421.8695652173913,215.53623188405797,60.594202898550726,86.52173913043478,132.17391304347825,384.2173913043478,207.8695652173913
hr,54.07462686567164,85.97014925373135,139.23880597014926,278.44776119402985,167.49253731343285,55.55223880597015,87.25373134328358,138.13432835820896,288.8805970149254,189.49253731343285
if,126.025,279.075,427.875,630.7,233.475,107.6,270.075,381.175,569.6,233.55
il,38.484848484848484,54.63636363636363,75.16666666666667,207.84848484848484,108.63636363636364,31.71212121212121,43.72727272727273,65.75757575757575,175.6818181818182,102.53030303030303
is,105.35714285714286,162.26530612244898,216.33673469387756,417.96938775510205,223.53061224489795,96.96938775510205,149.68367346938774,189.98979591836735,371.18367346938777,216.12244897959184
mh,64.83333333333333,93.12121212121212,129.4848484848485,322.54545454545456,164.63636363636363,54.10606060606061,80.31818181818181,120.10606060606061,283.75757575757575,167.03030303030303
mm,73.01315789473684,109.34210526315789,148.39473684210526,335.0657894736842,178.5921052631579,67.8157894736842,99.8157894736842,135.47368421052633,305.2894736842105,164.96052631578948
ms,64.83333333333333,90.68627450980392,130.92156862745097,298.5882352941176,173.7843137254902,57.3921568627451,83.31372549019608,120.99019607843137,279.5,184.7843137254902
nt,70.07228915662651,90.20481927710843,136.87951807228916,346.9277108433735,198.73493975903614,59.204819277108435,85.1566265060241,130.24096385542168,316.96385542168673,189.26506024096386
ot,51.05357142857143,75.6875,107.17857142857143,273.49107142857144,143.17857142857142,40.49107142857143,61.80357142857143,91.41071428571429,227.5625,139.65178571428572
ph,76.0673076923077,113.82692307692308,163.34615384615384,402.9807692307692,216.05769230769232,66.95192307692308,99.71153846153847,147.79807692307693,385.61538461538464,210.68269230769232
sb,74.9375,142.0625,196.078125,360.234375,185.9375,71.609375,135.28125,176.484375,351.578125,193.984375
sj,56.049180327868854,82.36065573770492,105.85245901639344,243.68852459016392,122.19672131147541,51.32786885245902,72.73770491803279,96.59016393442623,222.08196721311475,130.08196721311475
sm,57.96923076923077,90.52307692307693,134.7076923076923,288.6923076923077,134.3230769230769,55.06153846153846,86.33846153846154,127.3076923076923,282.16923076923075,151.3846153846154
sv,75.87719298245614,101.60526315789474,138.59649122807016,317.0877192982456,170.17543859649123,69.21929824561404,95.70175438596492,125.64912280701755,288.7280701754386,154.06140350877192
tl,40.6078431372549,58.294117647058826,89.11764705882354,232.68627450980392,131.13725490196077,32.03921568627451,50.588235294117645,80.62745098039215,213.98039215686273,115.33333333333333
tm,74.20202020202021,166.4848484848485,218.2020202020202,373.8989898989899,179.56565656565655,68.21212121212122,154.95959595959596,187.7171717171717,337.72727272727275,173.40404040404042
tr,45.670103092783506,67.03092783505154,93.3917525773196,253.29896907216494,169.84536082474227,35.56701030927835,51.79381443298969,78.81443298969072,205.69072164948454,175.11340206185568
vl,47.168539325842694,69.75280898876404,104.08988764044943,275.9550561797753,156.8314606741573,41.39325842696629,60.97752808988764,93.19101123595506,243.91011235955057,143.6067415730337
vn,53.35616438356164,82.02739726027397,117.35616438356165,292.6164383561644,176.6164383561644,46.32876712328767,71.31506849315069,107.56164383561644,271.041095890411,183.3013698630137
vs,53.51162790697674,63.93023255813954,96.12790697674419,261.3953488372093,140.96511627906978,44.383720930232556,55.174418604651166,84.34883720930233,218.34883720930233,132.04651162790697
