Siruta,Judet
1017,ab
1071,ab
1151,ab
1213,ab
1348,ab
1455,ab
1696,ab
1794,ab
1874,ab
1936,ab
2130,ab
2309,ab
2381,ab
2577,ab
2915,ab
2988,ab
3039,ab
3397,ab
3459,ab
3761,ab
3805,ab
3841,ab
3958,ab
4008,ab
4106,ab
4142,ab
4188,ab
4240,ab
4268,ab
4302,ab
4366,ab
4482,ab
4525,ab
4703,ab
4767,ab
4927,ab
4981,ab
5103,ab
5167,ab
5210,ab
5309,ab
5336,ab
5577,ab
5700,ab
5755,ab
5826,ab
6048,ab
6119,ab
6164,ab
6217,ab
6271,ab
6397,ab
6468,ab
6547,ab
6592,ab
6627,ab
6761,ab
6930,ab
6976,ab
7044,ab
7099,ab
7197,ab
7348,ab
7384,ab
7446,ab
7767,ab
7810,ab
7865,ab
7945,ab
8014,ab
8096,ab
8158,ab
8229,ab
8354,ab
8425,ab
8826,ab
9019,ab
9026,ab
9262,ar
9280,ar
9333,ar
9360,ar
9397,ar
9459,ar
9495,ar
9538,ar
9574,ar
9627,ar
9654,ar
9690,ar
9743,ar
9798,ar
9832,ar
9887,ar
9930,ar
10006,ar
10051,ar
10104,ar
10195,ar
10239,ar
10293,ar
10346,ar
10373,ar
10417,ar
10453,ar
10514,ar
10532,ar
10649,ar
10701,ar
10765,ar
10827,ar
10872,ar
10916,ar
10943,ar
11058,ar
11174,ar
11236,ar
11307,ar
11352,ar
11398,ar
11423,ar
11478,ar
11502,ar
11539,ar
11584,ar
11637,ar
11664,ar
11735,ar
11762,ar
11842,ar
11940,ar
11995,ar
12037,ar
12055,ar
12091,ar
12126,ar
12144,ar
12206,ar
12224,ar
12242,ar
12288,ar
12340,ar
12368,ar
12402,ar
12457,ar
12509,ar
12572,ar
12643,ar
12689,ar
12778,ar
12812,ar
12849,ar
12876,ar
12912,ar
12920,ar
12938,ar
13169,ag
13187,ag
13276,ag
13301,ag
13365,ag
13392,ag
13490,ag
13524,ag
13622,ag
13668,ag
13757,ag
13819,ag
13891,ag
13935,ag
13999,ag
14049,ag
14085,ag
14165,ag
14272,ag
14352,ag
14405,ag
14450,ag
14584,ag
14673,ag
14726,ag
14753,ag
14851,ag
14922,ag
14940,ag
15064,ag
15108,ag
15233,ag
15313,ag
15402,ag
15448,ag
15493,ag
15554,ag
15652,ag
15741,ag
15830,ag
15901,ag
15983,ag
16132,ag
16285,ag
16329,ag
16365,ag
16427,ag
16454,ag
16472,ag
16506,ag
16551,ag
16613,ag
16659,ag
16739,ag
16757,ag
16908,ag
16944,ag
17049,ag
17101,ag
17209,ag
17254,ag
17334,ag
17398,ag
17423,ag
17496,ag
17575,ag
17619,ag
17726,ag
17771,ag
17824,ag
17851,ag
17913,ag
17968,ag
18028,ag
18162,ag
18242,ag
18331,ag
18411,ag
18475,ag
18527,ag
18554,ag
18581,ag
18670,ag
18741,ag
18778,ag
18858,ag
18938,ag
19007,ag
19114,ag
19141,ag
19212,ag
19249,ag
19338,ag
19392,ag
19560,ag
19631,ag
19695,ag
19793,ag
19999,ag
20048,ag
20055,ag
20063,ag
20297,bc
20313,bc
20359,bc
20411,bc
20466,bc
20563,bc
20607,bc
20670,bc
20778,bc
20821,bc
20876,bc
20910,bc
20965,bc
21007,bc
21098,bc
21123,bc
21196,bc
21249,bc
21338,bc
21418,bc
21454,bc
21506,bc
21560,bc
21597,bc
21668,bc
21720,bc
21757,bc
21855,bc
21891,bc
21971,bc
22059,bc
22111,bc
22166,bc
22237,bc
22380,bc
22460,bc
22488,bc
22576,bc
22665,bc
22718,bc
22781,bc
22834,bc
22898,bc
22941,bc
23047,bc
23127,bc
23207,bc
23289,bc
23350,bc
23387,bc
23449,bc
23494,bc
23644,bc
23715,bc
23797,bc
23868,bc
23948,bc
23975,bc
24034,bc
24089,bc
24187,bc
24276,bc
24338,bc
24427,bc
24524,bc
24631,bc
24711,bc
24766,bc
24837,bc
24999,bc
25068,bc
25148,bc
25228,bc
25291,bc
25362,bc
25488,bc
25521,bc
25629,bc
25692,bc
25745,bc
25825,bc
25861,bc
25932,bc
26029,bc
26083,bc
26118,bc
26289,bc
26320,bc
26338,bc
26346,bc
26353,bc
26361,bc
26379,bc
26564,bh
26582,bh
26653,bh
26699,bh
26742,bh
26804,bh
26840,bh
26877,bh
26920,bh
26975,bh
27007,bh
27070,bh
27169,bh
27212,bh
27285,bh
27329,bh
27383,bh
27436,bh
27506,bh
27560,bh
27631,bh
27686,bh
27757,bh
27846,bh
27908,bh
27935,bh
27971,bh
28077,bh
28139,bh
28193,bh
28246,bh
28335,bh
28415,bh
28497,bh
28530,bh
28610,bh
28665,bh
28709,bh
28763,bh
28816,bh
28889,bh
28941,bh
29001,bh
29038,bh
29092,bh
29154,bh
29243,bh
29341,bh
29403,bh
29467,bh
29519,bh
29573,bh
29662,bh
29724,bh
29760,bh
29813,bh
29902,bh
29948,bh
30014,bh
30069,bh
30149,bh
30229,bh
30274,bh
30336,bh
30416,bh
30470,bh
30568,bh
30648,bh
30719,bh
30773,bh
30844,bh
30871,bh
30915,bh
30988,bh
31011,bh
31057,bh
31128,bh
31208,bh
31262,bh
31333,bh
31379,bh
31422,bh
31510,bh
31565,bh
31609,bh
31654,bh
31716,bh
31789,bh
31841,bh
31878,bh
31921,bh
31976,bh
32027,bh
32045,bh
32090,bh
32153,bh
32161,bh
32179,bh
32187,bh
32195,bh
32201,bh
32394,bn
32483,bn
32544,bn
32599,bn
32633,bn
32660,bn
32704,bn
32768,bn
32811,bn
32884,bn
32955,bn
33015,bn
33122,bn
33177,bn
33202,bn
33248,bn
33275,bn
33337,bn
33364,bn
33382,bn
33435,bn
33514,bn
33541,bn
33603,bn
33621,bn
33658,bn
33729,bn
33765,bn
33845,bn
33881,bn
33952,bn
33989,bn
34075,bn
34155,bn
34173,bn
34235,bn
34262,bn
34280,bn
34333,bn
34360,bn
34397,bn
34422,bn
34477,bn
34547,bn
34618,bn
34645,bn
34690,bn
34770,bn
34850,bn
34903,bn
34985,bn
35054,bn
35090,bn
35152,bn
35269,bn
35312,bn
35429,bn
35731,bt
35759,bt
35839,bt
35884,bt
35946,bt
36006,bt
36060,bt
36131,bt
36202,bt
36300,bt
36373,bt
